Domain Title,Control Title,Control Reference,Control Wording,Control Type,SOC  TSC Common Criteria,SOC  TSC Availability,SOC  TSC  Confidentiality,SOC TSC Privacy,ISO 27001 ISMS ,ISO 27002: 2013 Annex A,Cloud Service Customers ISO 27017,Cloud Service Providers ISO 27017,ISO 27018,PII Controller ISO 27701,PII Processor ISO 27701,ISO 22301,BSI C5,FedRAMP Tailored Control,Spanish ENS BASIC Control,Spanish ENS Medium Control,Spanish ENS High Control,ISMAP Control,PCI Control,Saudi CCC Control,EU Code of Conduct Control,NIST SP 800-171 Control,EUCS Basic Control,EUCS Substantial Control,EUCS High Control,SecNumCloud Control,IRAP Control
Infrastructure Security,Wireless access points,CCF 428,"Instead of deploying a small number of wireless access points that broadcast on high power, a greater number of wireless access points that use less broadcast power are deployed to achieve the desired footprint.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1338
Infrastructure Security,RF Shielding,CCF 429,The effective range of wireless communications outside an organization's area of control is limited by implementing RF shielding on facilities in which SECRET or TOP SECRET wireless networks are used.,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1013
Infrastructure Security,Wi-Fi Alliance Certification,CCF 430,All wireless access points are Wi-Fi Alliance certified.,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1314
Infrastructure Security,Cloud Service Provider,CCF 431,A cloud service provider is used for hosting online services.,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1437
Infrastructure Security,Content Delivery Networking,CCF 432,"When using environments that require high availability, Content Delivery Networks that cache websites are used and the IP address of the webserver under Systems control is avoided. The origin server is restricted to the CDN and an authorized management network. ",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1438 1439
Infrastructure Security,Online Service Domain Names,CCF 433,Domain names for online services are protected via registrar locking and confirming domain registration details are correct.,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1432
Infrastructure Security,HACE communication,CCF 434,"HACE (High Assurance Cryptographic Equipment) is used to protect SECRET and TOP SECRET data when communicated over insufficiently secure networks, outside of appropriately secure areas or via public network infrastructure.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0467 
Infrastructure Security,Security Domain Connection,CCF 435,All connections between security domains implement mechanisms to inspect and filter data flows for the transport and higher layers as defined in the OSI model.,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1192
Infrastructure Security,Connecting Network Gateway,CCF 436,"All gateways connecting networks in different security domains are operated such that they: • log network traffic permitted through the gateway • log network traffic attempting to leave the gateway • are configured to save event logs to a secure logging facility • provide real-time alerts for any cyber security incidents, attempted intrusions and unusual usage patterns.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0634 
Infrastructure Security,Gateway testing,CCF 437,"Gateways are subject to rigorous testing, performed at irregular intervals no more than six months apart, to determine the strength of security controls.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1037
Infrastructure Security,Demilitarized Zone Usage,CCF 438,"Demilitarized zones are used to broker access to services accessed by external entities, and mechanisms are applied to mediate internal and external access to less-trusted services hosted in these demilitarized zones.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0637 
Infrastructure Security,Administrator Gateway Role,CCF 439,"System administrator roles for gateway administration are created. Gateway administrators must be formally trained to manage gateways.  - All system administrators of gateways are cleared to access the highest level of data communicated or processed by the gateway. - All system administrators of gateways that process Australian Eyes Only (AUSTEO) or Australian Government Access Only (AGAO) data are Australian nationals. - Roles for the administration of gateways are separated. - For gateways between networks in different security domains, a formal arrangement exists whereby any shared components are managed by the system managers of the highest security domain or by a mutually agreed third party.",People,,,,,,,,,,,,,,,,,,,,,,,,,,,0612 1520 0613 0616 0629 
Infrastructure Security,Security Domain Stakeholders,CCF 440,"Once connectivity is established, system owners become stakeholders, and are defined, for all connected security domains.",People,,,,,,,,,,,,,,,,,,,,,,,,,,,0607 
Infrastructure Security,User Gateway Authentication,CCF 441,Users and services that access the network through a gateway must be authenticated. Only authenticated users that are authorized can use the gateway. All ICT (Information and Computer Technology) equipment accessing networks through gateways are authenticated too. Multi-factor authentication is used to access gateways.,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0619 0620 1039 0622
Infrastructure Security,Cross Domain Solution,CCF 442,"If applicable, when connecting a SECRET or TOP SECRET network to any other network from a different security domain, a cross domain solution (CDS) is implemented.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0626 
Infrastructure Security,ACSC Directions,CCF 443,"If applicable, when designing and deploying a CDS, the ACSC is notified and consulted; and directions provided by the ACSC (Australian Cyber Security Centre) are complied with.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0597 
Infrastructure Security,ACSC Consultation,CCF 444,"If applicable, when introducing additional connectivity to a CDS, such as adding a new gateway to a common network, the ACSC is consulted on the impact to the security of the CDS; and directions provided by the ACSC are complied with.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0627 
Infrastructure Security,Cross Domain network path,CCF 445,"If applicable, a CDS between a highly classified network and any other network implements; - isolated upward and downward network paths  - protocol breaks at each layer of the OSI model - content filtering and separate independent security-enforcing components for upward and downward data flows",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0635 1521 1522
Infrastructure Security,CDS Training,CCF 446,"If applicable, Users are trained on the secure use of a CDS before access to the CDS is granted.",People,,,,,,,,,,,,,,,,,,,,,,,,,,,0610 
Infrastructure Security,CDS security event log,CCF 447,"If applicable, a representative sample of security events generated by a CDS, relating to the enforcement of data transfer policies, is taken at least every 3 months and assessed against the security policies that the CDS is responsible for enforcing between security domains.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1523
Infrastructure Security,Evaluated Firewall usage,CCF 448,"In addition to the firewall between networks of different security domains, an evaluated firewall is used between an AUSTEO or AGAO network and a foreign network.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0641 
Infrastructure Security,Evaluated Firewall usage,CCF 449,"In addition to the firewall between networks of different security domains, an evaluated firewall is used between an AUSTEO or AGAO network and another Australian controlled network.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0641 
Infrastructure Security,Evaluated Diode,CCF 450,"If applicable, an evaluated diode is used for controlling the data flow of unidirectional gateways between organizations' networks and public network infrastructure.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0643 
Infrastructure Security,High Assurance Diode,CCF 451,"If applicable, an evaluated diode used for controlling the data flow of a unidirectional gateway between a SECRET or TOP SECRET network and public network infrastructure completes a high assurance evaluation.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0645 
Infrastructure Security,Evaluated Diode,CCF 452,"If applicable, an evaluated diode is used for controlling the data flow of unidirectional gateways between networks.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0643 
Infrastructure Security,High Assurance Diode,CCF 453,"If applicable, an evaluated diode used for controlling the data flow of a unidirectional gateway between a SECRET or TOP SECRET network and any other network completes a high assurance evaluation.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0645 
Infrastructure Security,Evaluated Diode,CCF 454,An evaluated diode is used between an AUSTEO or AGAO network and a foreign network at the same classification.,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0643 
Infrastructure Security,Evaluated Diode,CCF 455,An evaluated diode is used between an AUSTEO or AGAO network and another Australian controlled network at the same classification.,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0643 
Infrastructure Security,Server Connected Diode,CCF 456,A diode (or server connected to the diode) deployed to control data flow in unidirectional gateways monitors the volume of the data being transferred.,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0648 
Infrastructure Security,Web Proxy,CCF 457,All web access (including internal servers) is conducted through a web proxy. Web proxies authenticates users and provides logging that includes: • address (uniform resource locator) • time/date • user • amount of data uploaded and downloaded • internal and external IP addresses.,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0260 0261 
Infrastructure Security,Web Content Filter,CCF 458,A web content filter is used to filter potentially harmful web-based content. Web content filtering controls are applied to outbound web traffic where appropriate.,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0963 1237 
Infrastructure Security,Client-Side Active Content,CCF 459,"Client-side active content, such as Java, is restricted to a list of allowed websites.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0961 
Infrastructure Security,TLS Legal Advice,CCF 460,Legal advice is sought regarding the inspection of TLS traffic by internet gateways.,Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0996 
Infrastructure Security,Blacklisting and Whitelisting,CCF 461,"Blacklisting and whitelisting methods are used for web content filters. Methods include; - A list of allowed websites, using either domain name or IP address, is implemented for all Hypertext Transfer Protocol (HTTP) and HTTPS traffic communicated through internet gateways. - If a list of allowed websites is not implemented, a list of allowed website categories is implemented instead and a list of blocked websites is implemented instead. - If a list of blocked websites is implemented, the list is updated on a daily basis to ensure that it remains effective. - Attempts to access a website through its IP address instead of through its domain name are blocked. - Dynamic domains and other domains where domain names can be registered anonymously for free are blocked.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0958 1170 0959 0960 1171 1236 
Infrastructure Security,Data Filtering,CCF 462,"If applicable, when importing data into a security domain, the data is filtered by a content filter designed for that purpose. Content filters deployed in a CDS (common data sets) are subject to rigorous security assessment to ensure they mitigate content-based threats and cannot be bypassed.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0659 1524 0687 
Infrastructure Security,Content Blocking,CCF 463,"All suspicious, malicious and active content is blocked from entering a security domain. Suspicious content is blocked until reviewed and approved for transfer by a trusted source other than the originator.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0651 0652 
Infrastructure Security,Dynamic Malware Analysis,CCF 464,Email and web content entering a security domain is automatically run in a dynamic malware analysis sandbox to detect suspicious behavior.,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1389 
Infrastructure Security,Content Validation,CCF 465,Content validation is performed on all data passing through a content filter with content which fails content validation blocked.,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1284
Infrastructure Security,Content Conversion,CCF 466,Content conversion is performed for all ingress or egress data transiting a security domain boundary.,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1286
Infrastructure Security,Content Sanitization,CCF 467,Content sanitization is performed on suitable file types if content conversion is not appropriate for data transiting a security domain boundary.,Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1287
Infrastructure Security,Content Filter Checks,CCF 468,The contents from archive/container files are extracted and subjected to content filter checks.,Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1289
Infrastructure Security,Content Controlled Inspection,CCF 469,Controlled inspection of archive/container files is performed to ensure that content filter performance or availability is not adversely affected.,Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1290
Infrastructure Security,File Inspection,CCF 470,Files that cannot be inspected are blocked and generate an alert or notification.,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1291
Infrastructure Security,Targeted Cyber Intrusion,CCF 471,"If applicable, system owner consultation and legal advice is sought before allowing a targeted cyber intrusion activity to continue on a system for the purpose of collecting further data or evidence.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0137 1609
Infrastructure Security,Intrusion Traffic Retention,CCF 472,"In the event of a successful targeted cyber intrusion, full network traffic is captured for at least seven days and analyzed to determine whether the adversary has been successfully removed from the system.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1213
Infrastructure Security,Video Calling Hardening,CCF 473,"Video and calling infrastructure must be hardened and abide by the following requirements;  • Video conferencing or IP telephone traffic follow through a gateway with video-aware and/or voice-aware firewall  • Video conferencing and IP telephony calls are established using a secure session initiation protocol. • Video conferencing and IP telephony traffic is separated physically or logically from other data traffic. Workstations that use video and IP phone traffic use VLANs or similar mechanisms to maintain separation between video conferencing, IP telephony and other data traffic. • If IP phones are used in public areas, their ability to access data networks, voicemail and directory services are prevented. • Video conferencing and IP telephony calls are conducted using a secure real-time transport protocol.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1562 0546 0547 0548 0549 0556 0558
Infrastructure Security,ASD Cryptography,CCF 474,ASD approved cryptography is used to protect the confidentiality and integrity of all wireless network traffic.,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1332
Third Party Management,Evidence Integrity,CCF 475,Investigators are responsible for maintaining the integrity of evidence gathered during an investigation. ,Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0138 
Third Party Management,Cloud customer and service provider contact,CCF 476,Cloud customers and service providers maintain 24x7 contact details for each other in order to report cyber security incidents. Contact details include additional out-of-band contact details for use when normal communication channels fail.,People,,,,,,,,,,,,,,,,,,,,,,,,,,,1433 1434  
Third Party Management,ACSC Reporting,CCF 477,All Cyber Security Incidents are reported to the Australian Cyber Security Centre (ACSC). ,Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0140  
Third Party Management,ACSC Security Assessment,CCF 478,Commercial and government gateway services selected by the Australian Cyber Security Centre (ACSC) undergo a joint security assessment by ACSC and Infosec Registered Assessors Program (IRAP) assessors at least every 24 months.,Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0100 
Third Party Management,IRAP Security Assessment,CCF 479,Cloud service providers and their cloud services undergo a security assessment by an IRAP assessor at least every 24 months.,Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1570 
Third Party Management,Community or Private Cloud Usage,CCF 480,Only community or private clouds are used for outsourced SECRET and TOP SECRET cloud services.,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1529  
Third Party Management,"Australian system processing, storing, and communicating",CCF 481,"[The Organization] processing, storing or communicating Australian, AUSTEO or AGAO data remain at all times in a data center residing in Australia, under the control of an Australian national working for or on behalf of the Australian Government.",People,,,,,,,,,,,,,,,,,,,,,,,,,,,0078  
Third Party Management,AUSTEO or AGAO access,CCF 482,Access to AUSTEO or AGAO data can only be accessed from [The Organization] under the sole control of the Australian Government that are located within facilities authorized by the Australian Government.,Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0854 
Third Party Management,Procurement of PP-based products,CCF 483,"If procuring an evaluated product, a product that has completed a PP-based evaluation is selected in preference to one that has completed an EAL-based evaluation.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0280 
Third Party Management,Microsoft Windows Usage,CCF 484,"When developing a Microsoft Windows SOE (Standard Operating Environment), the 64-bit version of the operating system is used.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1408 
Third Party Management,ACSC Hardening of Operating Systems,CCF 485,ACSC and vendor guidance is implemented to assist in hardening the configuration of operating [The Organization].,Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1409 
Third Party Management,Microsoft Operating System Usage,CCF 486,"The use of Microsoft operating [The Organization] and Microsoft supported applications must abide by the following best practices;  • If supported, the latest version of Microsoft’s EMET is implemented on workstations and servers and configured with both operating system mitigation measures and application-specific mitigation measures. • If supported, Microsoft’s exploit protection functionality is implemented on workstations and servers. • PowerShell version must be higher than 2.0 and is configured to Constrained Language Mode. • PowerShell is configured to use module logging, script block logging and transcription functionality. • PowerShell script block logs are protected by Protected Event Logging functionality. • If supported, Microsoft’s Attack Surface Reduction rules are implemented. ",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1414 1492 1621 1622 1623 1624 1601
Third Party Management,ACSC Hardening of Microsoft Office,CCF 487,"ACSC and vendor guidance is implemented to assist in hardening the configuration of Microsoft Office, web browsers and PDF viewers.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1412 
Third Party Management,Web Browser Blocking,CCF 488,"Web browsers are configured to block or disable Java, Flash, and web advertisements. ",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1484 1485 1486
Third Party Management,Unrequired Functionality Blocking,CCF 489,"Any unrequired functionality in Microsoft Office, web browsers and PDF viewers is disabled.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1470
Third Party Management,Add-On Restriction,CCF 490,"The use of Microsoft Office, web browser and PDF viewer add-ons is restricted to organization approved add-ons.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1235
Third Party Management,Microsoft Office Usage,CCF 491,"Microsoft Office products installed on workstation must follow the following best practice configurations;  • Microsoft Office is configured to prevent activation of Object Linking, Embedding packages, and is configured to disable Flash content. • Only privileged users responsible for validating that Microsoft Office macros are free of malicious code can write to and modify content within Trusted Locations. • Microsoft Office macros in documents originating from the internet are blocked. • Microsoft Office macro security settings cannot be changed by users. ",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1541 1542 1487 1488 1489
Third Party Management,Out-dated applications and operating systems,CCF 492,Applications and operating [The Organization] that are no longer supported are updated or replaced with vendor-supported versions. ,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0304 1501
Data Security Management,Radio Frequency Inventory,CCF 493,"If applicable, a formal inventory for authorized RF (radio frequency) and IR (Infrared) devices in SECRET and TOP SECRET areas is maintained and regularly audited.  Unauthorized RF devices are not allowed to be brought into SECRET and TOP SECRET areas.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1543 0225 0221 
Data Security Management,Unauthorized RF Devices,CCF 494,"If applicable, Security measures are used to detect and respond to unauthorized RF devices in SECRET and TOP SECRET areas.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0829 
Data Security Management,Bluetooth and Wireless Keyboard Usage,CCF 495,"If applicable, Bluetooth and wireless keyboards are not used unless in an RF screened building.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1058 
Data Security Management,Infrared Keyboards and Ports,CCF 496,"If applicable, when using infrared keyboards, the following activities are prevented: • infrared ports are positioned to prevent line of sight and reflected communications travelling into an unsecured space. • multiple infrared keyboards for different [The Organization] being used in the same area • other infrared devices being used in the same area • infrared keyboards operating in areas with unprotected windows.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0222 0223 0224
Physical Security,Cabling Infrastructure,CCF 497,"If applicable, cabling infrastructure is installed in accordance with relevant Australian Standards, as directed by the Australian Communications and Media Authority.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0181 
Physical Security,Fiber-Optic Cables,CCF 498,"If applicable, fiber-optic cables are used for cabling infrastructure instead of copper cables.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1111 
Physical Security,Cable Register,CCF 499,"If applicable, a cable register is maintained and regularly audited.  The register contains the following for each cable: • cable identifier • cable colour • sensitivity/classification • source • destination • location • seal numbers (if applicable).  Note: Building management cables must be labelled with their purpose in black writing on a yellow background at least 2.5cm x 1cm large. These labels must be attached every 5 meter interval.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0211 0208 0206 1096 1639
Physical Security,Floor Plan Diagram,CCF 500,"If applicable, floor plan diagrams are maintained and regularly audited.  Floor plan diagrams contain the following: • cable paths (including ingress and egress points between floors) • cable reticulation system and conduit paths • floor concentration boxes • wall outlet boxes • network cabinets. ",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1645 1646 
Physical Security,Cable Labeling,CCF 501,"If applicable, Cables are labelled at inspection points with the following requirements:  • Foreign system's cables installed in Australian facilities are labelled. • Top Secret level information system's cables are Red and are fully inspectable for their entire length. Labels for TOP SECRET conduits are a minimum size of 2.5 cm x 1 cm, attached at five-metre intervals and marked as ‘TS RUN’. • Secret level information system's cables are Salmon Pink and are fully inspectable for their entire length. • All other information system's cables (Official level and Protected level Information [The Organization]) are color coated using any color other than Red (Top Secret) and Salmon Pink (Secret). • Non-conforming cable colors are banded with appropriate cable colors and are labled at inspection points. • Building management cables must be labelled with their purpose in black writing on a yellow background at least 2.5cm x 1cm large. These labels must be attached every 5 meter interval. • Cables in non-shared government buildings are inspectable every 5 meters.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1640 0926 1216 1112 1118 1119 1126 0184 0187 0201 1718 1719
Physical Security,Fiber-Optic Cable Requirements,CCF 502,"If applicable, fiber optic cables abide by the following requirements; • Fibers in the sheath only carry a single cable group based on the information protection level of the information system. (Top Secret, Secret, Official, and Protected) • For Fiber cables containing subunits, each subunit only carries cables from a single cable group. ",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0189 0190 
Physical Security,Cable Dividing Partition,CCF 503,"If applicable, cable groups sharing a common cable reticulation system have a dividing partition or a visible gap between the cable groups.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1114 
Physical Security,Cable Reticulation System,CCF 504,"If applicable, in shared facilities, cables are run in an enclosed cable reticulation system.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1130 
Physical Security,Conduit Usage,CCF 505,"If applicable, in shared facilities, conduits or the front covers of ducts, cable trays in floors and ceilings, and associated fittings are clear plastic.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1164 
Physical Security,Tamper-Evident Seal Usage,CCF 506,"If applicable, in shared facilities, uniquely identifiable SCEC endorsed tamper-evident seals are used to seal all removable covers on TOP SECRET cable reticulation [The Organization].",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0195 
Physical Security,Conduit Glue,CCF 507,"If applicable, in shared facilities, a visible smear of conduit glue is used to seal all plastic conduit joints and TOP SECRET conduit runs connected by threaded lock nuts.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0194 
Physical Security,Cable Configuration,CCF 508,"If applicable, in shared facilities, TOP SECRET cables are not run in party walls.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1133 
Physical Security,Cable Encasement,CCF 509,"If applicable, in shared government facilities, where wall penetrations exit a TOP SECRET area into a lower classified space, TOP SECRET cables are encased in conduit with all gaps between the TOP SECRET conduit and the wall filled with an appropriate sealing compound.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1122  
Physical Security,Cable Encasement,CCF 510,"If applicable, in shared non-government facilities, where wall penetrations exit into a lower classified space, cables are encased in conduit with all gaps between the conduit and the wall filled with an appropriate sealing compound.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1122  
Physical Security,Flexible or Plastic Conduit Usage,CCF 511,"If applicable, cables from cable trays to wall outlet boxes are run in flexible or plastic conduit.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1115 
Physical Security,Wall outlet Box Connectors,CCF 512,"If applicable, wall outlet boxes have connectors on opposite sides of the wall outlet box if the cable group contains cables belonging to different [The Organization].",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1104 
Physical Security,Cabling Box Requirements,CCF 513,"If applicable, cabling boxes must follow the following requirements;  • Different cables groups do not share a wall outlet box. • Wall outlet boxes denote the [The Organization], cable identifiers and wall outlet box identifier. • OFFICIAL and PROTECTED wall outlet boxes are colored neither salmon pink nor red.  • Wall outlet box covers are clear plastic. • SECRET wall outlet boxes are colored salmon pink. • TOP SECRET wall outlet boxes are colored red. ",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1105 1095 1107 1109 1720 1721
Physical Security,Fiber-Optic Fly Leads,CCF 514,"If TOP SECRET fiber-optic fly leads exceeding five meters in length are used to connect wall outlet boxes to ICT equipment, they are run in a protective and easily inspected pathway that is clearly labelled at the ICT equipment end with the wall outlet box’s identifier.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0218 
Physical Security,Cable Reticulation Termination,CCF 515,"If applicable, cable reticulation [The Organization] leading into cabinets are terminated as close as possible to the cabinet.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1102 
Physical Security,Cable Reticulation Termination,CCF 516,"If applicable, in TOP SECRET areas, cable reticulation [The Organization] leading into cabinets in a secure communications or server room are terminated as close as possible to the cabinet.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1102 
Physical Security,Cable Reticulation Termination,CCF 517,"If applicable, in TOP SECRET areas, cable reticulation [The Organization] leading into cabinets not in a secure communications or server room are terminated at the boundary of the cabinet.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1102 
Physical Security,Cable Termination,CCF 518,"If applicable, cables are terminated in individual cabinets; or for small [The Organization], one cabinet with a division plate to delineate cable groups.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1098 
Physical Security,Cable Termination,CCF 519,"If applicable, TOP SECRET cables are terminated in an individual TOP SECRET cabinet.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1098 
Physical Security,Cable Termination,CCF 520,"If applicable, different cable groups do not terminate on the same patch panel.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1098 
Physical Security,Cabinet Gap,CCF 521,"If applicable, there is a visible gap between TOP SECRET cabinets and cabinets of lower classifications.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1116 
Physical Security,Patch Panel Separation,CCF 522,"If applicable, TOP SECRET and non-TOP SECRET patch panels are physically separated by installing them in separate cabinets.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0216 
Physical Security,Patch Panel Configuration,CCF 523,Where spatial constraints demand patch panels of lower classifications than TOP SECRET be located in the same cabinet as a TOP SECRET patch panel: • a physical barrier in the cabinet is provided to separate patch panels • only personnel holding a Positive Vetting security clearance have access to the cabinet • approval from the TOP SECRET system’s authorizing officer is obtained prior to installation.,Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0217 
Physical Security,Penetration of Audio Secured Space,CCF 524,"When penetrating a TOP SECRET audio secured room, ASIO (Australian Security Intelligence organization) is consulted and all directions provided are complied with.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0198 
Physical Security,Power Distribution Board,CCF 525,"If applicable, a power distribution board with a feed from an Uninterruptible Power Supply is used to power all TOP SECRET ICT equipment.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1123 
Physical Security,Power Distribution Board,CCF 526,"If applicable, in TOP SECRET areas of shared non-government facilities, a power distribution board with a feed from an Uninterruptible Power Supply is used to power all TOP SECRET ICT equipment.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,1123 
Physical Security,Radio Frequency Transmitters,CCF 527,"If applicable, system owners deploying SECRET or TOP SECRET [The Organization] with Radio Frequency (RF) transmitters inside or co-located with their facility contact the ACSC for an emanation security threat assessment and implement any additional installation criteria derived from the emanation security threat assessment.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0247 
Physical Security,Radio Frequency Transmitters,CCF 528,"If applicable, system owners deploying OFFICIAL or PROTECTED [The Organization] with RF transmitters that will be co-located with SECRET or TOP SECRET [The Organization] contact the ACSC for an emanation security threat assessment and implement any additional installation criteria derived from the emanation security threat assessment.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0247 
Physical Security,System Deployment in Shared Facilities,CCF 529,"If applicable, system owners deploying SECRET or TOP SECRET [The Organization] in shared facilities contact the ACSC for an emanation security threat assessment and implement any additional installation criteria derived from the emanation security threat assessment.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,1137 
Physical Security,System Deployment Overseas,CCF 530,"If applicable, system owners deploying [The Organization] overseas contact the ACSC for emanation security threat advice and implement any additional installation criteria derived from the emanation security threat advice.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0932 
Physical Security,System Deployment Overseas,CCF 531,"If applicable, System owners deploying [The Organization] or military platforms overseas contact the ACSC for an emanation security threat assessment and implement any additional installation criteria derived from the emanation security threat assessment.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0932 
Physical Security,Emanation Security Threat Assessment,CCF 532,An emanation security threat assessment is sought as early as possible in a project’s life cycle as emanation security controls can have significant cost implications.,Process,,,,,,,,,,,,,,,,,,,,,,,,,,,0246 
Physical Security,ICT Equipment Standards,CCF 533,"If applicable, ICT (Information and Computer Technology) equipment meets industry and government standards relating to electromagnetic interference/electromagnetic compatibility.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0250 
